,Listing,date,Level 1
0,Best extract DMT CRYSTAL POWDER FOR SALE 10g $250,2020-04-09,DMT
1,SUBUTEX 8mg,2020-03-19,Buprenorphine
2,500 GRAM SPEEDPASTE AMPHETAMINE HIGH QUALITY,2020-04-09,Illicit Amphetamine/Methamphetamine
3,"Lorazepam Tavor 1,0mg expidet 10pcs",2020-04-02,Lorazepam
4,Oxycodone caps IR 10 x 10mg Teva,2020-04-16,Oxycodone
5,20 pill oxycodone m30,2020-03-26,Oxycodone
6,Oxymorphone 40MG (OPANA) (Generic Oral Tablet) â€“ Buy Without Prescription,2020-04-09,Oxymorphone
7,Anastrozole - 200 tb/1 mg - BM Pharma,2020-02-20,HORMONE ANTAGONISTS AND RELATED AGENTS
8,Changa (50% DMT) 3.5g,2020-04-09,DMT
9,10x Lyrica (Pregabalin) 150mg EXPRESS,2020-02-20,Pregabalin
10,75 gram ðŸ”¥ ICE Pure Crystal Meth 95%+ Purity uncut and clean,2020-04-30,Illicit Amphetamine/Methamphetamine
11,Xanax 2mg,2020-03-19,Alprazolam
12,Genotropin HGH 12mg 36iu USA to USA,2020-03-12,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
13,50x 2CB pills â™•Yellow Batmanâ™• 18mg 2-CB (Dutch)+FREEBIE,2020-04-09,2C-B
14,Blue Meanie Magic Mushrooms,2020-04-30,Hallucinogenic mushrooms
15,Atomoxetine/Strattera 100mg phrama grade,2020-04-23,Atomoxetine
16,10mg REAL PHARMACY HYDROCODONE!! DIRECT FROM PHARMACY NO PRESSES!,2020-03-19,Hydrocodone
17,20 X 2CB MERCEDESBENZ,2020-03-12,2C-B
18,Spice Herbal Incense (4fadb)  !!BULK AVAILABLE!!,2020-04-09,Synthetic cannabinoids not specified
19,10x 2CB Batman - 18mg,2020-02-27,2C-B
